name,model,price,country,mileage,registration,transmission,power,fueltype,Citigo,Enyaq iV,Fabia,Kamiq,Karoq,Kodiaq,Octavia,Rapid,Scala,Superb,Yeti,Automat,Manuál,Benzín,CNG,Diesel,Elektřina,Hybrid,LPG,Ostatní paliva
Skoda Scala Ambition 110 kW,Scala,533990,Německo,11100,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Fabia 1.0 TSI Monte Carlo 70 kW,Fabia,377490,Francie,11053,2021,Manuál,70,Benzín,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Enyaq iV 60 132 kW,Enyaq iV,986990,Francie,2000,2021,Automat,132,Elektřina,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1086990,Německo,26500,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 1.5 TSI DSG Ambition 96 kW,Octavia,499990,Španělsko,21352,2019,Automat,96,CNG,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Skoda Rapid 85 kW,Rapid,260490,Polsko,117131,2017,Manuál,85,Diesel,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Scala 1.0 TSI Style 85 kW,Scala,485990,Španělsko,9000,2020,Manuál,85,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 2.0 TDI Green Tec Style 140 kW,Superb,571490,Německo,133961,2018,Automat,140,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Scala 1.0 TSI 81 kW,Scala,495490,Německo,2439,2021,Manuál,81,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq Style 147 kW,Kodiaq,1139490,Německo,1500,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 2.0l TDI DSG 4x4 147 kW,Octavia,984490,Německo,29771,2021,Automat,147,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG Style 110 kW,Karoq,881490,Německo,1001,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb 2.0 TDI Green Tec 140 kW,Superb,1113490,Německo,25000,2021,Automat,140,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Superb 147 kW,Superb,1164990,Německo,21534,2020,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Scala Style 110 kW,Scala,647490,Německo,1000,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 1.6 TDI Ambition 85 kW,Scala,485990,Francie,10896,2020,Manuál,85,Diesel,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Skoda Scala 110 kW,Scala,649990,Německo,14890,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 110 kW,Scala,649490,Německo,1050,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kamiq 1.0 TSI DSG Ambition 81 kW,Kamiq,534490,Francie,16125,2021,Automat,81,Benzín,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1164990,Německo,18900,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Scala Ambition 110 kW,Scala,563490,Španělsko,17000,2021,Automat,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.5 TSI DSG 110 kW,Scala,622990,Rakousko,22928,2019,Automat,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
